Root Domain,Location on Site,Primary Domain,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,X,Twitter,Facebook,LinkedIn,Google,GitHub,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CMS Platform,CRM Platform,Marketing Automation Platform,Payment Platforms,CRuX Rank,Cloudflare Rank,Agency,Hosting Provider,AI,Exclusion,Compliance
fsdhgroup.com,fsdhgroup.com,fsdhgroup.com,$557,"$8,101","","",20,FSDH Merchant Bank Ltd,Finance,"","","","","",fsdh-phc@fsdhgroup.com;fsdh-abuja@fsdhgroup.com;info@fsdhgroup.com;fsdh-abj@fsdhgroup.com;help@fsdhgroup.com;frauddesk@fsdhgroup.com,"","","","","","",Robert Ajiamah - C-Suite,"",Lagos,LA,101001,NG,2011-10-02,2025-09-27,2025-10-10,2025-10-10,"",Google Search Appliance;WordPress,"","","",Top 50m,"","",Cloudflare Hosting;Amazon,"","",""
pristoninternational.com,pristoninternational.com,pristoninternational.com,$0,"","","","",Priston International School,Unknown,"","","","","","","","","","","","","","","","","",NG,2019-09-03,2025-10-04,2025-10-04,2025-10-04,"",Plesk;Tutor LMS;WordPress;WordPress 6.6;WordPress 6.8,"","","","","","","","","",""
fmcide.gov.ng,fmcide.gov.ng,fmcide.gov.ng,"$1,675","","","","",FMCIDE,Unknown,"","","","","","",x.com/fmcidenigeria,"","",linkedin.com/company/fmcidenigeria,"","","","",Central Business District,FC,900104,NG,2023-12-05,2025-10-10,2025-10-10,2025-10-10,"",WordPress;WordPress 6.6,"","","",Top 5m,"","","","","",""
rescues24.com,rescues24.com,rescues24.com,"$1,118","$8,581","","","",rescues24.com,Business And Industrial,"","","","","","","","","","","","","","","",LA,"",NG,2023-01-15,2025-10-05,2025-10-05,2025-10-05,WooCommerce 6.1,WordPress;WordPress 5.8,"","","","","","",Sharktech;Shark Tech,"","",""
casty.com.ng,casty.com.ng,casty.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2023-05-16,2025-08-28,2025-10-05,2025-10-05,"",Plesk,"","","","","","",Unified Layer,"","",""
mascus.ng,mascus.ng,mascus.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-05-06,2025-10-05,2025-10-05,2025-10-05,"","","","","","","","",LeaseWeb,"","",""
drexpress.com.ng,drexpress.com.ng,drexpress.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-08-08,2025-10-05,2025-10-05,2025-10-05,"",Plesk,"","","","","","",InterServer,"","",""
redeemersnetwork.tv,redeemersnetwork.tv,redeemersnetwork.tv,$0,"","","","","",Unknown,"","","","","","","","","","","","","","","","","",NG,2020-02-06,2025-08-28,2025-10-05,2025-10-05,"",Plesk,"","","","","","",GoDaddy,"","",""
otondo.com.ng,otondo.com.ng,otondo.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-08-28,2025-10-05,2025-10-05,2025-10-05,"",Plesk,"","","","","","","","","",""
gloworld.com,gloworld.com,gloworld.com,$300,"","773,698","3,379","",gloworld.com Corp,Technology And Computing,"292,730","505,684","312,049","","",customercare@gloworld.com;corporatecare@gloworld.com,"",twitter.com/gloworld,facebook.com/gloworld,"","","",Philip Crown - C-Suite,"","","","",NG,2011-09-04,2025-09-27,2025-10-12,2025-10-12,"","","","","",Top 50m,Top 500k,"",Amazon;OpenSRS;Cloudflare Hosting,"","",""
royalexchangemfb.com,ibank.royalexchangemfb.com;ibank-api.royalexchangemfb.com;ibank-2.royalexchangemfb.com,royalexchangemfb.com,$0,"$11,141",152,541,"",Royal Exchange Microfinance Bank,Finance,"","","","","",hello@royalexchangemfb.com,x.com/royalbankng,twitter.com/royalbankng,facebook.com/royalbankng,linkedin.com/company/royalbankng,"","",Hamid Adedeji - Sales,"","",LA,100231,NG,2022-12-20,2025-10-06,2025-10-06,2025-10-06,"",WordPress;WordPress 6.7;WordPress 6.8,"","","","","","",Unified Layer;BlueHost,"","",""
myexams.ng,myexams.ng,myexams.ng,$0,"","","","","",Education,"","","","","","","",twitter.com/myexamsng,facebook.com/myexamsng-114449264486296,linkedin.com/company/myexamsng,"","","","","","","","",2024-01-26,2025-10-06,2025-10-06,2025-10-06,"",Plesk,"","","","","","",Limestone Networks,"","",""
africarbhmotorgroup.ng,africarbhmotorgroup.ng,africarbhmotorgroup.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-07-30,2025-10-06,2025-10-06,2025-10-06,"",Edmunds,"","","","","","",Cloudflare Hosting,"","",""
paytv.com.ng,paytv.com.ng,paytv.com.ng,"$1,057","","","","",PayTV Services,Unknown,"","","","","","","","","","","","","","","","","","",2024-06-18,2025-10-06,2025-10-06,2025-10-06,"","","","","","","","",InterServer,"","",""
nutrition774.ng,nutrition774.ng,nutrition774.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-08-16,2025-10-06,2025-10-06,2025-10-06,"","","","","",Top 50m,"","","","","",""
nass.gov.ng,mail.nass.gov.ng/*;sipexternal.nass.gov.ng;portal.nass.gov.ng/*;mail.senpac.nass.gov.ng;mail.senpac.nass.gov.ng/*,nass.gov.ng,$0,"","","","","","Law, Govt And Politics","708,234","762,977","480,794","","",info@nass.gov.ng,"",twitter.com/nassnigeria,"","","","","","","","","","",2019-04-11,2025-09-27,2025-10-09,2025-10-09,"","","","","",Top 5m,"","",DreamHost Hosting,"","",""
mapleleaf.ng,mapleleaf.ng,mapleleaf.ng,$0,"","","","","",Unknown,"","","","","","","","","","","","","","",Sydney South,NSW,1234,AU,2024-12-24,2025-10-07,2025-10-07,2025-10-07,"","","","","","","","","","","",""
moafconsulting.com,moafconsulting.com,moafconsulting.com,$0,"","",169,"",MOAF Consulting Ltd,"Law, Govt And Politics","","","","",ph:+1-202-681-5554;ph:+1-708-836-3175;ph:+1-909-457-9336;ph:+1-877-836-7543,education@moafconsulting.com;immigration@moafconsulting.com;contact@moafconsulting.com,"",twitter.com/moafconsulting,"","","","","","",Ikeja,Lagos,"",NG,2021-09-07,2025-10-07,2025-10-07,2025-10-07,"",Plesk,"","",Visa,"","","",1and1,"","",""
edorevpay.com.ng,edorevpay.com.ng,edorevpay.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-12-12,2025-10-07,2025-10-07,2025-10-07,"","","","","","","","",GoDaddy,"","",""
amcon.com.ng,amcon.com.ng,amcon.com.ng,$350,"",44,"","","",Finance,"","","","","",customer.complaints@amcon.com.ng;whistleblowing@amcon.com.ng,"",twitter.com/amcon_ng,facebook.com/amcon-1864307090504459,"","","",Henry Gabay - C-Suite,"",Maitama,FC,900271,NG,2012-02-04,2025-09-27,2025-10-10,2025-10-10,"","","","","",Top 10m,"","",Incapsula,"","",""
jobakor.com,jobakor.com,jobakor.com,$0,"","","","","",Unknown,"","","","","","","","","","","","","","","",DE,332104,NG,2020-08-18,2025-10-07,2025-10-07,2025-10-07,"","","","","","","","",Cloudflare Hosting;Sharktech;Shark Tech,"","",""
guardiancredit.com.ng,guardiancredit.com.ng,guardiancredit.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2021-01-21,2025-10-07,2025-10-07,2025-10-07,"","","","","","","","",Sharktech;Shark Tech,"","",""
optimumresourcesmgt.com.ng,optimumresourcesmgt.com.ng,optimumresourcesmgt.com.ng,$0,"",79,"","",Optimum Resources Management,Business And Industrial,"","","","",ph:+1-806-478-4861,info@optimumresourcesmgt.com.ng,"",twitter.com/optimumrm,facebook.com/optimumrm,"","","","","","","","",NG,2019-07-02,2025-10-07,2025-10-07,2025-10-07,"",Plesk;WordPress;WordPress 6.8,"","","","","","",Limestone Networks,"","",""
preeze92telecombiz.com.ng,preeze92telecombiz.com.ng/*,preeze92telecombiz.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-10-09,2025-10-09,2025-10-09,2025-10-09,"","","","","","","","","","","",""
teloengineeringlimited.com.ng,teloengineeringlimited.com.ng,teloengineeringlimited.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-10-07,2025-10-08,2025-10-08,2025-10-08,"","","","","","","","","","","",""
naddc.gov.ng,mail.naddc.gov.ng/*;mail.naddc.gov.ng,naddc.gov.ng,$60,"","2,695","","",National Automotive Design and Development Agency,Business And Industrial,"","","","","",contact@naddc.gov.ng,x.com/naddcouncil,twitter.com/naddcouncil,facebook.com/naddc12,"","","","","","","","",NG,2025-04-01,2025-10-08,2025-10-09,2025-10-09,"",WordPress;WordPress 6.8,"","","",Top 10m,"","",Namecheap Hosting,"","",""
channetic.com,channetic.com,channetic.com,"$1,166","","","","",Channetic Co,Business And Industrial,"","","","",ph:+1-809-399-9901,care@channetic.com,"","",facebook.com/channetictech,"","","","","",Lagos,Lagos,"",NG,2019-08-25,2025-10-08,2025-10-08,2025-10-08,"","","","","","","","",Sharktech;Shark Tech;Cloudflare Hosting,"","",""
harmonioustelecom.com.ng,harmonioustelecom.com.ng/*,harmonioustelecom.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-09-21,2025-10-08,2025-10-08,2025-10-08,"","","","","","","","","","","",""
sls.com.ng,sls.com.ng,sls.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-05-11,2025-10-09,2025-10-09,2025-10-09,"","","","","","","","",Sharktech;Shark Tech,"","",""
carespace.com.ng,carespace.com.ng,carespace.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-08-04,2025-10-09,2025-10-09,2025-10-09,"","","","",Paystack,"","","","","","",""
logicversion.ng,logicversion.ng,logicversion.ng,$557,"","","","",Logic Version,Business And Industrial,"","","","",ph:+1-803-345-2113;ph:+1-909-756-1272,info@logicversion.ng,"","","","","","","","","","","","",2021-07-20,2025-10-09,2025-10-09,2025-10-09,"",WordPress;WordPress 6.8,"","","","","","",Sharktech;Shark Tech,"","",""
ebms.com.ng,ebms.com.ng,ebms.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-08-30,2025-10-09,2025-10-09,2025-10-09,"",Plesk,"","","","","","",node4,"","",""
microbizmfb.com,microbizmfb.com,microbizmfb.com,$0,"","","","",Microbiz MFBank Ltd,Finance,"","980,622","","","","","",twitter.com/microbizmfb,facebook.com/microbizmfb,linkedin.com/company/microbizmfbank,"","",Joe Onyeabor - Director; Joseph Onyeabor - Director,"","","","",NG,2023-06-28,2025-10-09,2025-10-09,2025-10-09,"","","","","","","","",Cloudflare Hosting;Contabo,"","",""
shalomvetclinic.com.ng,shalomvetclinic.com.ng,shalomvetclinic.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-06-18,2025-10-09,2025-10-09,2025-10-09,"","","","","","","","",Cloudflare Hosting,"","",""
kadppa.ng,kadppa.ng,kadppa.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2023-04-22,2025-10-09,2025-10-10,2025-10-10,"","","","","",Top 50m,"","",Sharktech;Shark Tech,"","",""
kdesglobal.com,kdesglobal.com,kdesglobal.com,$300,"","","","",Kdes Global,Unknown,"","","","","","","","","","","","","","",Enugu,"","",NG,2024-02-26,2025-10-09,2025-10-09,2025-10-09,"","","","","","","","",InterServer,"","",""
rb-college.co.uk,rb-college.co.uk,rb-college.co.uk,$0,"","","","","",Education,"","","","",ph:+44-207-1013286,"","","","","","","","","","","","",NG,2021-03-27,2025-10-09,2025-10-09,2025-10-09,"","","","","",Top 10m,"","","","","",""
abubakaradamu.com.ng,abubakaradamu.com.ng/*;abubakaradamu.com.ng,abubakaradamu.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-04-08,2025-10-09,2025-10-09,2025-10-09,"",Plesk,"","","","","","",Limestone Networks,"","",""
zohoapps.com.ng,zohoapps.com.ng,zohoapps.com.ng,$594,"","","","","",Business And Industrial,"","","","","","","","","","","","","","","","","","",2024-03-20,2025-06-16,2025-10-09,2025-10-09,"","","","","","","","",InterServer,"","",""
dolatmultiglobal-shopmaster.com.ng,dolatmultiglobal-shopmaster.com.ng/*;dolatmultiglobal-shopmaster.com.ng,dolatmultiglobal-shopmaster.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-08-04,2025-10-09,2025-10-09,2025-10-09,"",Plesk,"","","","","","","","","",""
nbssurveys.ng,nbssurveys.ng/*;app.nbssurveys.ng/*,nbssurveys.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2021-12-21,2025-08-08,2025-10-09,2025-10-09,"","","","","","","","","","","",""
nigeriasmshub.com,nigeriasmshub.com,nigeriasmshub.com,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2012-03-03,2025-10-09,2025-10-09,2025-10-09,"","","","","","","","",Contabo,"","",""
estudy.ng,estudy.ng,estudy.ng,$240,"","","","","","","","","","","","","","","","","","","","","","","","",2024-05-27,2025-09-25,2025-10-10,2025-10-10,"",KaTeX,"","","",Top 10m,"","",Microsoft;Microsoft Azure,"","",""
cyberproofsolutions.com.ng,cyberproofsolutions.com.ng,cyberproofsolutions.com.ng,$159,"","","","","",Unknown,"","","","","","","","","","","","","","","",LA,102215,NG,2024-06-18,2025-10-09,2025-10-09,2025-10-09,"",Plesk,"","","","","","",InterServer,"","",""
zirsfinance.ng,zirsfinance.ng,zirsfinance.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-01-21,2025-10-09,2025-10-09,2025-10-09,"",Plesk,"","","","","","",Limestone Networks,"","",""
pppra.gov.ng,mail.pppra.gov.ng;mail.pppra.gov.ng/*,pppra.gov.ng,$0,"","","","","",Business And Industrial,"","10,129,307","","","","","","",facebook.com/pppra.gov.ng,"","","","","","","","","",2024-04-23,2025-09-27,2025-10-09,2025-10-09,"","","","","","","","","","","",""
ssds.ng,portal.ssds.ng,ssds.ng,$0,"","","","","","","","","317,062","","","","","","","","","","","","","","","",2023-09-19,2025-10-09,2025-10-09,2025-10-09,"",WordPress;WordPress 6.8,"","",American Express,Top 5m,"","",Casablanca INT;Contabo,"","",""
iham.com.ng,iham.com.ng,iham.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-06-18,2025-06-18,2025-10-10,2025-10-10,"",Plesk,"","","","","","","","","",""
ncce.gov.ng,ncce.gov.ng,ncce.gov.ng,$0,"","","","","",Unknown,"","","","","","","","","","","","","","","",FC,223140,NG,2024-03-20,2025-10-10,2025-10-10,2025-10-10,"","","","","",Top 5m,"","",Sharktech;Shark Tech,"","",""
alphaomegacollegeportal.com,alphaomegacollegeportal.com,alphaomegacollegeportal.com,$0,"","","","","",Unknown,"","","","","","","","","","","","","","","","","",NG,2019-01-12,2025-10-10,2025-10-10,2025-10-10,"",Plesk,"","","","","","",node4,"","",""
nsa.gov.ng,euc.nsa.gov.ng;portal.euc.nsa.gov.ng;fearlessfang.nsa.gov.ng/*;papcve.nsa.gov.ng;papims.nsa.gov.ng/*;mail1.nsa.gov.ng/*;hadip.nsa.gov.ng;portal.euc.nsa.gov.ng/*,nsa.gov.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2018-05-02,2025-09-29,2025-10-10,2025-10-10,"","","","","",Top 10m,"","","","","",""
transact.com.ng,transact.com.ng,transact.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-09-17,2025-10-10,2025-10-10,2025-10-10,"","","","","","","","",Sharktech;Shark Tech,"","",""
citypros.com.ng,citypros.com.ng,citypros.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2021-01-14,2025-10-10,2025-10-10,2025-10-10,"",Plesk,"","","","","","",InterServer,"","",""
afrigul.com,afrigul.com,afrigul.com,$0,"","","","",Afriglobal Medicare Ltd,Unknown,"","","","","","","","","","","","","","",Ikeja,LA,100282,NG,2024-05-14,2025-09-03,2025-10-10,2025-10-10,"","","","","",Top 50m,"","","","","",""
etbmanager.gov.ng,etbmanager.gov.ng,etbmanager.gov.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2022-08-31,2025-10-10,2025-10-10,2025-10-10,"","","","","","","","","","","",""
stcatherinescomprensukka.com,stcatherinescomprensukka.com,stcatherinescomprensukka.com,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2015-11-29,2025-10-10,2025-10-10,2025-10-10,"",Plesk,"","","","","","",Cloudflare Hosting,"","",""
jmcs.org.ng,jmcs.org.ng,jmcs.org.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2018-07-02,2025-10-10,2025-10-10,2025-10-10,"","","","","","","","",Sharktech;Shark Tech,"","",""
edluxehotels.org,edluxehotels.org,edluxehotels.org,$0,"","","","","",Unknown,"","","","","","","","","","","","","","",Ikeja,LA,100282,NG,2024-12-17,2025-10-11,2025-10-11,2025-10-11,"",Plesk,"","","","","","",Hetzner,"","",""
ananreportserver.org,ananreportserver.org,ananreportserver.org,$699,"","","","","","","","","","","","","","","","","","","","","","","","",2015-06-21,2025-10-11,2025-10-11,2025-10-11,"",Plesk,"","","","","","",Internap,"","",""
cornerstone.com.ng,app.cornerstone.com.ng;smtp.cornerstone.com.ng,cornerstone.com.ng,"$2,154","","","","",Cornerstone Insurance Plc,Finance,"","","","","",ecare@cornerstone.com.ng;enquiries@cornerstone.com.ng;claimscare@cornerstone.com.ng;enquires@cornerstone.com.ng,"",twitter.com/cornerstone_ng,facebook.com/cornerstoneinsuranceplc,"","","","","","","","","",2020-01-02,2025-09-25,2025-10-11,2025-10-11,"","","","","",Top 50m,"","",Google Cloud;Google,Ebanqo,"",""
lapiestreats.com.ng,lapiestreats.com.ng,lapiestreats.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-03-18,2025-10-11,2025-10-11,2025-10-11,"",Plesk;WordPress;WordPress 6.8,"","","","","","","","","",""
andysurveysltd.com,andysurveysltd.com,andysurveysltd.com,$0,"","","","","",Unknown,"","","","","","","","",facebook.com/andysurveys,"","","","","","","","",NG,2013-09-15,2025-10-11,2025-10-11,2025-10-11,WooCommerce 6.6;YITH WooCommerce Quick View;YITH WooCommerce Wishlist,Microsoft Word;WordPress;WordPress 6.8,"","","","","","",AWS Global Accelerator;Amazon,"","",""
itf.gov.ng,pay.itf.gov.ng;siwes.itf.gov.ng/*;host.itf.gov.ng;bppapi.itf.gov.ng;mail.siwes.itf.gov.ng;reimburse.itf.gov.ng;siwes.itf.gov.ng;pay.itf.gov.ng/*,itf.gov.ng,$0,"","","","","",Business And Industrial,"812,428","","","",ph:+61-354-794242,dgitf@itf.gov.ng;info@itf.gov.ng,"",twitter.com/itfnigeria,facebook.com/itfniger,"","","","","","","","","",2019-02-02,2025-09-29,2025-10-11,2025-10-11,"","","","","",Top 5m,"","",Limestone Networks,"","",""
topmostportal.com.ng,topmostportal.com.ng,topmostportal.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-04-30,2025-10-11,2025-10-11,2025-10-11,"",Plesk,"","","","","","",node4,"","",""
marsnigeria.com,marsnigeria.com,marsnigeria.com,$0,"","","","","",Careers,"","","","","",info@marsnigeria.com,"","","","","","","","","","","",NG,2018-08-03,2025-10-11,2025-10-11,2025-10-11,"","","","","","","","","","","",""
scopeshopmaster.com.ng,scopeshopmaster.com.ng,scopeshopmaster.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-04-25,2025-10-11,2025-10-11,2025-10-11,"",Plesk,"","","","","","","","","",""
hauwauconfectionariesandfarmventures.com.ng,hauwauconfectionariesandfarmventures.com.ng,hauwauconfectionariesandfarmventures.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-05-06,2025-10-11,2025-10-11,2025-10-11,"",Plesk;WordPress;WordPress 6.8,"","","","","","","","","",""
abiastatepolytechnic.edu.ng,portal.abiastatepolytechnic.edu.ng;elearn.abiastatepolytechnic.edu.ng;studycenter.abiastatepolytechnic.edu.ng;apistudycenter.abiastatepolytechnic.edu.ng;bookstore.abiastatepolytechnic.edu.ng,abiastatepolytechnic.edu.ng,$313,"",58,"","","",Finance,"","20,582,581","","",ph:+1-631-551-3678,info@abiastatepolytechnic.edu.ng,"",twitter.com/AbiaState_Poly,facebook.com/abiastatepolytechaba,"","","","","","","","","",2017-01-04,2025-08-26,2025-10-12,2025-10-12,"",WordPress;WordPress 6.8,"","","",Top 5m,"","",GoDaddy,"","",""
ananuniversity.edu.ng,portal.ananuniversity.edu.ng;clagadmin.ananuniversity.edu.ng;absabuja.ananuniversity.edu.ng;api.clag.ananuniversity.edu.ng,ananuniversity.edu.ng,$350,"","","","","",Unknown,"","","","","",info@ananuniversity.edu.ng;admission@ananuniversity.edu.ng;academics@ananuniversity.edu.ng;recruitment@ananuniversity.edu.ng,"",twitter.com/ananuniversity,facebook.com/ananuniversity,linkedin.com/company/ananuniversity,"","","","","",PL,"",NG,2021-07-20,2025-10-12,2025-10-12,2025-10-12,"","","","","",Top 50m,"","",Unified Layer,"","",""
gitechhub.com.ng,gitechhub.com.ng,gitechhub.com.ng,$0,"","","","","",Unknown,"","","","","","","","","","","","","","",Lokoja,KO,260101,NG,2024-08-20,2025-06-28,2025-10-12,2025-10-12,"",Plesk,"","","","","","",Limestone Networks,"","",""
dreamviewhotelpro.com.ng,dreamviewhotelpro.com.ng,dreamviewhotelpro.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2025-01-21,2025-10-12,2025-10-12,2025-10-12,"",Plesk,"","","","","","","","","",""
terraco.ng,terraco.ng,terraco.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2023-05-29,2025-10-12,2025-10-12,2025-10-12,"","","","","","","","",Incapsula,"","",""
bamshopmaster.com.ng,bamshopmaster.com.ng,bamshopmaster.com.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-07-16,2025-06-29,2025-09-05,2025-09-05,"","","","","","","","","","","",""
afro.who.int,afrolib.afro.who.int;aho.afro.who.int;africahealthforum.afro.who.int;apps.afro.who.int;apramed.afro.who.int;com.afro.who.int;indexmedicus.afro.who.int;maps.afro.who.int;noguchiprize.afro.who.int;rsis.afro.who.int;dwp.aho.afro.who.int,who.int,$60,"","","","","",Unknown,"","","","","","","",twitter.com/whoafro,facebook.com/whoafro,"","","","","",N/A,N/A,N/A,NG,2025-09-08,2025-09-29,2025-10-10,2025-10-10,"",Drupal;Drupal 10;Microsoft Power Apps;Progress Sitefinity,"","",Fundraise Up,Top 10m,"",Manta Ray Media,Microsoft Azure Front Door;AWS Global Accelerator;Unified Layer;Microsoft Azure;Amazon,"","",""
osgof.gov.ng,mail.osgof.gov.ng/*;mail.osgof.gov.ng,osgof.gov.ng,$0,"","","","","",Unknown,"","","822,509","","","","","","","","","","","",Garki II,FC,900103,NG,2024-09-10,2025-10-04,2025-10-10,2025-10-10,"",WordPress;WordPress 6.7;WordPress 6.8,"","","",Top 50m,"","","","","",""
totalenergies.ng,mytucn.totalenergies.ng/*;missionorder.totalenergies.ng;kbrvisitors.totalenergies.ng;srm.totalenergies.ng;timesheet.totalenergies.ng;ecoi.totalenergies.ng/*,totalenergies.ng,"$1,550","","","","",TotalEnergies Marketing Nigeria,Business And Industrial,"","","","","","","",twitter.com/totalenergiesng,"","","","",PII - Director,"",Paris,11,92078,FR,2024-11-19,2025-09-28,2025-10-10,2025-10-10,"","","","","",Top 10m,"","",Cloudflare Hosting;OVH,"","",GDPR FR
woodridgeandscott.com,woodridgeandscott.com,woodridgeandscott.com,$0,"$15,441",919,"","",WOODRIDGE AND SCOTT Consulting Services,Business And Industrial,"","","","","",info@woodridgeandscott.com,"",twitter.com/woodridgescott,facebook.com/woodridgeandscott,linkedin.com/company/woodridge-and-scott-consulting,"","",Scott Consulting’s - BizDev,"",Lagos,LA,102216,NG,2015-09-21,2025-09-16,2025-10-04,2025-10-04,"",WordPress;WordPress 6.8,"","","","","","",Sharktech;Shark Tech;AWS Global Accelerator,"","",""
pedelmaglobal.com,pedelmaglobal.com,pedelmaglobal.com,$0,"","","","",Pedelma Global Ltd,Unknown,"","","","","","","","","","","","","","",Wuse II,FC,900271,NG,2023-03-21,2025-09-21,2025-09-21,2025-09-21,"",Plesk,"","","","","","","","","",""
litour.ng,litour.ng,litour.ng,$0,"","","","","","","","","","","","","","","","","","","","","","","","",2024-10-15,2025-09-06,2025-09-06,2025-09-06,"","","","","","","","",Cloudflare Hosting,"","",""
